GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|GOVEMPFUNCT|GOVEMPFUNCT_TTL|EMPFT|EMPFT_F|PAYANNFT|PAYANNFT_F|EMPPT|EMPPT_F|PAYANNPT|PAYANNPT_F|HRSPT|HRSPT_F|EMPFTE|EMPFTE_F|EMP|EMP_F|PAYANN|PAYANN_F
01|00|0100000US|United States||2016|1000|Total - All Government Employment Functions|3763727||19850430279||1604731||2298248030||103832879||4360635||5368458||22148678309|
01|00|0100000US|United States||2016|1020|Financial Administration|164386||822440225||9669||20578018||987922||170061||174055||843018243|
01|00|0100000US|United States||2016|1040|Other Government Administration|46110||232977579||10329||21939213||898039||51297||56439||254916792|
01|00|0100000US|United States||2016|1060|Judicial and Legal|170762||970319872||8461||20938322||779395||175205||179223||991258194|
01|00|0100000US|United States||2016|1100|Police Protection Total|100361||618556470||2921||4740736||184221||101421||103282||623297206|
01|00|0100000US|United States||2016|1101|Police Protection - Persons with Power of Arrest|64692||459580902||567||745731||24275||64831||65259||460326633|
01|00|0100000US|United States||2016|1102|Police Protection - Other|35669||158975568||2354||3995005||159946||36590||38023||162970573|
01|00|0100000US|United States||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
01|00|0100000US|United States||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
01|00|0100000US|United States||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
01|00|0100000US|United States||2016|1140|Corrections|436198||1998565693||8566||24121748||870143||441148||444764||2022687441|
01|00|0100000US|United States||2016|1160|Highways|205793||1006104314||11043||27878059||1055641||211906||216836||1033982373|
01|00|0100000US|United States||2016|1180|Air Transportation|3190||18415285||58||118886||4527||3216||3248||18534171|
01|00|0100000US|United States||2016|1200|Water Transport and Terminals|4439||27055483||81||142653||7376||4481||4520||27198136|
01|00|0100000US|United States||2016|1220|Public Welfare|235139||953406726||10376||23912010||1115313||241522||245515||977318736|
01|00|0100000US|United States||2016|1240|Health|175993||846199407||15684||37938529||1330910||183571||191677||884137936|
01|00|0100000US|United States||2016|1260|Hospitals|348102||1743397301||76851||311942974||8006910||393745||424953||2055340275|
01|00|0100000US|United States||2016|1280|Social Insurance Administration|69020||314810234||3642||9322215||398972||71301||72662||324132449|
01|00|0100000US|United States||2016|1300|Solid Waste Management|2376||13998420||156||340514||16149||2470||2532||14338934|
01|00|0100000US|United States||2016|1320|Sewerage|1631||11135264||47||242764||3800||1654||1678||11378028|
01|00|0100000US|United States||2016|1340|Parks and Recreation|29307||112165575||11054||15060355||1046826||35316||40361||127225930|
01|00|0100000US|United States||2016|1360|Housing and Community Development|613||3589903||47||130815||5559||645||660||3720718|
01|00|0100000US|United States||2016|1380|Natural Resources|121258||575581210||25858||40768202||2228962||133938||147116||616349412|
01|00|0100000US|United States||2016|1400|Water Supply|780||4358006||29||61994||1570||789||809||4420000|
01|00|0100000US|United States||2016|1420|Electric Power|4139||30407686||69||202523||6382||4174||4208||30610209|
01|00|0100000US|United States||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
01|00|0100000US|United States||2016|1460|Transit|32389||218879756||1450||2838825||136987||33162||33839||221718581|
01|00|0100000US|United States||2016|1480|Education Total|1438329||8440718010||1388095||1701252778||83178490||1917151||2826424||10141970788|
01|00|0100000US|United States||2016|1481|Education - Elementary and Secondary Total|42234||218464455||17247||21178804||1111004||49163||59481||239643259|
01|00|0100000US|United States||2016|14811|Education - Elementary and Secondary Instructional|31654||178100088||12273||14890223||761121||36298||43927||192990311|
01|00|0100000US|United States||2016|14812|Education - Elementary and Secondary Other|10580||40364367||4974||6288581||349883||12865||15554||46652948|
01|00|0100000US|United States||2016|1482|Education - Higher Education Total|1317579||7847833533||1357953||1657681667||81030758||1783551||2675532||9505515200|
01|00|0100000US|United States||2016|14821|Education - Higher Education Instructional|427472||3464367401||433733||818430902||28533678||591948||861205||4282798303|
01|00|0100000US|United States||2016|14822|Education - Higher Education Other|890107||4383466132||924220||839250765||52497080||1191603||1814327||5222716897|
01|00|0100000US|United States||2016|1483|Education - Other|78516||374420022||12895||22392307||1036728||84437||91411||396812329|
01|00|0100000US|United States||2016|1500|Libraries|570||2135008||241||183644||15130||655||811||2318652|
01|00|0100000US|United States||2016|1560|State liquor stores|6145||21793779||6596||9230485||548549||9359||12741||31024264|
01|00|0100000US|United States||2016|1580|All other and unallocable|166697||863419073||13408||24361768||1005106||172448||180105||887780841|
02|01|0400000US01|Alabama||2016|1000|Total - All Government Employment Functions|78048||358986821||32820||37758699||2098059||90141||110868||396745520|
02|01|0400000US01|Alabama||2016|1020|Financial Administration|2310||10346102||95||167322||8808||2360||2405||10513424|
02|01|0400000US01|Alabama||2016|1040|Other Government Administration|513||2681762||213||644485||21854||636||726||3326247|
02|01|0400000US01|Alabama||2016|1060|Judicial and Legal|2855||13637396||312||654750||34253||3048||3167||14292146|
02|01|0400000US01|Alabama||2016|1100|Police Protection Total|1284||5119170||19||29270||1300||1291||1303||5148440|
02|01|0400000US01|Alabama||2016|1101|Police Protection - Persons with Power of Arrest|819||3708938||0||0||0||819||819||3708938|
02|01|0400000US01|Alabama||2016|1102|Police Protection - Other|465||1410232||19||29270||1300||472||484||1439502|
02|01|0400000US01|Alabama||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1140|Corrections|4441||17082780||223||497328||21714||4564||4664||17580108|
02|01|0400000US01|Alabama||2016|1160|Highways|4248||15521498||71||57812||5960||4282||4319||15579310|
02|01|0400000US01|Alabama||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1200|Water Transport and Terminals|394||1878188||5||5143||380||396||399||1883331|
02|01|0400000US01|Alabama||2016|1220|Public Welfare|4174||14028003||93||165757||8190||4220||4267||14193760|
02|01|0400000US01|Alabama||2016|1240|Health|4198||17475705||317||354616||18459||4302||4515||17830321|
02|01|0400000US01|Alabama||2016|1260|Hospitals|11488||51719857||1963||5440861||210428||12716||13451||57160718|
02|01|0400000US01|Alabama||2016|1280|Social Insurance Administration|878||3402420||38||31618||3908||900||916||3434038|
02|01|0400000US01|Alabama||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1340|Parks and Recreation|329||865416||282||290826||32346||512||611||1156242|
02|01|0400000US01|Alabama||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1380|Natural Resources|1755||7087422||145||191197||11739||1822||1900||7278619|
02|01|0400000US01|Alabama||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1480|Education Total|36350||187203151||28339||28342806||1645936||45852||64689||215545957|
02|01|0400000US01|Alabama||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1482|Education - Higher Education Total|33455||175699307||28167||28106085||1632680||42883||61622||203805392|
02|01|0400000US01|Alabama||2016|14821|Education - Higher Education Instructional|10038||75983636||9082||12079482||504285||12939||19120||88063118|
02|01|0400000US01|Alabama||2016|14822|Education - Higher Education Other|23417||99715671||19085||16026603||1128395||29944||42502||115742274|
02|01|0400000US01|Alabama||2016|1483|Education - Other|2895||11503844||172||236721||13256||2969||3067||11740565|
02|01|0400000US01|Alabama||2016|1500|Libraries|0||0||0||0||0||0||0||0|
02|01|0400000US01|Alabama||2016|1560|State liquor stores|809||2204460||13||26552||1342||817||822||2231012|
02|01|0400000US01|Alabama||2016|1580|All other and unallocable|2022||8733491||692||858356||71442||2423||2714||9591847|
02|02|0400000US02|Alaska||2016|1000|Total - All Government Employment Functions|23274||136940867||4885||6287209||307036||25073||28159||143228076|
02|02|0400000US02|Alaska||2016|1020|Financial Administration|1073||6897560||31||41942||856||1078||1104||6939502|
02|02|0400000US02|Alaska||2016|1040|Other Government Administration|586||3589402||15||39404||1024||592||601||3628806|
02|02|0400000US02|Alaska||2016|1060|Judicial and Legal|1366||9164552||40||77366||2564||1382||1406||9241918|
02|02|0400000US02|Alaska||2016|1100|Police Protection Total|640||4255476||43||34316||1610||650||683||4289792|
02|02|0400000US02|Alaska||2016|1101|Police Protection - Persons with Power of Arrest|293||2514540||0||0||0||293||293||2514540|
02|02|0400000US02|Alaska||2016|1102|Police Protection - Other|347||1740936||43||34316||1610||357||390||1775252|
02|02|0400000US02|Alaska||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1140|Corrections|2222||13456072||49||102398||5334||2255||2271||13558470|
02|02|0400000US02|Alaska||2016|1160|Highways|3147||18430980||50||92562||4440||3174||3197||18523542|
02|02|0400000US02|Alaska||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1200|Water Transport and Terminals|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1220|Public Welfare|1759||8801514||77||139406||10716||1824||1836||8940920|
02|02|0400000US02|Alaska||2016|1240|Health|654||4003716||10||30660||904||659||664||4034376|
02|02|0400000US02|Alaska||2016|1260|Hospitals|234||1502302||34||115632||5976||270||268||1617934|
02|02|0400000US02|Alaska||2016|1280|Social Insurance Administration|268||1426222||0||0||0||268||268||1426222|
02|02|0400000US02|Alaska||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1340|Parks and Recreation|91||489592||0||0||0||91||91||489592|
02|02|0400000US02|Alaska||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1380|Natural Resources|2159||12934435||64||144365||4445||2185||2223||13078800|
02|02|0400000US02|Alaska||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1480|Education Total|6519||36131596||4417||5385414||265519||8066||10936||41517010|
02|02|0400000US02|Alaska||2016|1481|Education - Elementary and Secondary Total|2680||11739140||1235||1384191||77035||3161||3915||13123331|
02|02|0400000US02|Alaska||2016|14811|Education - Elementary and Secondary Instructional|1983||9255139||570||742966||40134||2235||2553||9998105|
02|02|0400000US02|Alaska||2016|14812|Education - Elementary and Secondary Other|697||2484001||665||641225||36901||926||1362||3125226|
02|02|0400000US02|Alaska||2016|1482|Education - Higher Education Total|3593||22866278||3148||3964989||187284||4652||6741||26831267|
02|02|0400000US02|Alaska||2016|14821|Education - Higher Education Instructional|1033||9098139||892||1211181||56203||1351||1925||10309320|
02|02|0400000US02|Alaska||2016|14822|Education - Higher Education Other|2560||13768139||2256||2753808||131081||3301||4816||16521947|
02|02|0400000US02|Alaska||2016|1483|Education - Other|246||1526178||34||36234||1200||253||280||1562412|
02|02|0400000US02|Alaska||2016|1500|Libraries|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1560|State liquor stores|0||0||0||0||0||0||0||0|
02|02|0400000US02|Alaska||2016|1580|All other and unallocable|2556||15857448||55||83744||3648||2579||2611||15941192|
02|04|0400000US04|Arizona||2016|1000|Total - All Government Employment Functions|60479||296762633||31237||34353915||2095318||72316||91716||331116548|
02|04|0400000US04|Arizona||2016|1020|Financial Administration|2245||9335825||48||88443||3140||2262||2293||9424268|
02|04|0400000US04|Arizona||2016|1040|Other Government Administration|649||2777940||117||197869||9735||704||766||2975809|
02|04|0400000US04|Arizona||2016|1060|Judicial and Legal|2346||11419455||70||234983||6587||2383||2416||11654438|
