CZ Name,State,"AM, 80-82 Cohort","RM, College Attendance","RM, Teenage birth","RM, College Quality","Average of Percent of adults with less than a high school diploma, 2011-2015","Average of Percent of adults with a high school diploma only, 2011-2015","Average of Percent of adults completing some college or associate's degree, 2011-2015","Average of Percent of adults with a bachelor's degree or higher, 2011-2015",Average of Top 1% Income Share
Johnson City,TN,38.4,0.875,-0.311,0.207,17.98,37.35,26.45,18.19,0.129798
Morristown,TN,37.8,0.775,-0.339,0.169,19.38,42.2,24.7,13.74,0.09447
Middlesborough,TN,39,0.68,-0.261,0.158,27.4,39.1,21.96666667,11.53333333,0.072346667
Knoxville,TN,37.8,0.857,-0.329,0.208,17.4625,37.9125,25.7625,18.8625,0.08845625
Winston-Salem,NC,37,0.737,-0.356,0.202,18.5,32.16,29.78,19.54,0.092694
Martinsville,VA,37.3,0.858,-0.389,0.245,21.6,33.26666667,31.2,13.93333333,0.094593333
Greensboro,NC,36.5,0.767,-0.33,0.207,18.875,32.075,30.7625,18.2875,0.1135925
North Wilkesboro,NC,38.3,0.805,-0.292,0.206,21.4,31.85,31.05,15.8,0.132885
Galax,VA,40.8,0.825,-0.251,0.229,22.2,35.75,28.725,13.375,0.08011
Spartanburg,SC,36.4,0.787,-0.37,0.199,18.275,32.925,28.475,20.375,0.12276
Gastonia,NC,35.4,0.761,-0.359,0.201,17.675,31.725,32.725,17.85,0.0951375
Charlotte,NC,35.8,0.757,-0.356,0.203,15.26666667,31.03333333,30.18888889,23.52222222,0.106487778
Boone,NC,40,0.767,-0.27,0.2,18.9,30.6,28.36666667,22.16666667,0.112063333
Morganton,NC,37.6,0.753,-0.286,0.197,19,33.35,31,16.7,0.0710375
Hickory,NC,35.6,0.793,-0.373,0.2,18.2,32.35,30.85,18.625,0.10141
Franklin,NC,41.2,0.738,-0.269,0.187,13.4,31.9,30.45,24.2,0.1785
Sylva,NC,40.6,0.644,-0.354,0.171,17.6,31.23333333,31.2,19.9,0.086773333
Asheville,NC,39,0.71,-0.281,0.191,13.22,27.82,30.98,27.96,0.11093
Andrews,NC,40.8,0.665,-0.298,0.153,13.175,32.7,33.175,21.025,0.25346
Bennettsville,SC,34.9,0.8,-0.393,0.17,24.85,40.3,24.7,10.15,0.120415
Florence,SC,35.9,0.77,-0.341,0.191,18.27142857,36.02857143,28.12857143,17.58571429,0.125994286
Fayetteville,NC,34.8,0.682,-0.338,0.18,18.07142857,30.47142857,32.74285714,18.72857143,0.100624286
Wilmington,NC,35.9,0.669,-0.36,0.184,15.44,29.1,33.46,22.02,0.095438
Wilson,NC,35,0.721,-0.313,0.199,19.76666667,34.2,30.06666667,15.93333333,0.10513
Raleigh,NC,36.9,0.729,-0.345,0.214,14.45,25.86,29.65,30.03,0.104586
Henderson,NC,33.5,0.743,-0.411,0.199,22.7,36.2,27.7,13.4,0.09816
Goldsboro,NC,37.6,0.688,-0.362,0.196,23.36666667,31,31.83333333,13.83333333,0.104063333
Jacksonville,NC,37.2,0.7,-0.361,0.197,15.1375,29.55,36.3375,18.975,0.09467125
Virginia Beach,VA,37.9,0.733,-0.352,0.209,13.62727273,29.23636364,34.55454545,22.6,0.086245455
Washington,NC,37.5,0.677,-0.336,0.184,18.88333333,34.25,32.01666667,14.85,0.067543333
South Boston,VA,38,0.798,-0.347,0.23,21.9875,35.675,26.7875,15.5625,0.0701725
Lynchburg,VA,39.2,0.798,-0.333,0.215,14.4,32.8,29.8,23.02,0.071503333
Richmond,VA,37.9,0.775,-0.338,0.216,15.23529412,32.98823529,28.27058824,23.48823529,0.078228235
Newport News,VA,38.1,0.758,-0.353,0.222,11.5,27.30769231,31.16153846,30.05384615,0.072076923
Roanoke Rapids,NC,35.6,0.66,-0.328,0.209,23.5,36.63333333,27.4,12.45,0.063323333
Gulfport,MS,39.3,0.716,-0.312,0.155,17.54285714,33.22857143,33.45714286,15.7,0.084607143
Laurel,MS,40.1,0.709,-0.38,0.157,20.9,35.8,28.75,14.6,0.14691
Hattiesburg,MS,39.4,0.723,-0.387,0.162,16.7,33.86,29.32,20.08,0.087152
Kosciusko,MS,37.3,0.756,-0.317,0.139,25.65,34.15,26.65,13.6,0.178515
Yazoo City,MS,34.8,0.855,-0.367,0.171,30.5,32,24.8,12.7,0.155555
Jackson,MS,36.4,0.7,-0.37,0.159,18.45714286,29.67142857,30.07142857,21.78571429,0.116327143
McComb,MS,39.6,0.691,-0.312,0.14,23.82,36.94,25.88,13.38,0.098278
Brookhaven,MS,40.5,0.587,-0.226,0.087,18.2,35.55,32.6,13.65,0.17655
Jena,LA,48.6,0.69,-0.217,0.166,23.5,42.9,21.55,12,0.058835
Natchez,MS,38.8,0.741,-0.342,0.162,20.3,40.025,25.3,14.4,0.1015675
Vicksburg,MS,35.3,0.767,-0.345,0.177,20.9,33.975,28.175,16.975,0.1199925
New Orleans,LA,38.2,0.718,-0.303,0.207,16.56666667,35.66666667,27.7,20.05555556,0.105767778
Houma,LA,44,0.63,-0.305,0.121,25.125,40.5,21.65,12.725,0.1158425
Baton Rouge,LA,39.3,0.684,-0.292,0.19,17.47,37.92,25.83,18.78,0.087806
Alexandria,LA,40.1,0.751,-0.34,0.212,21.86666667,40.2,25.8,12.16666667,0.10708
Lake Charles,LA,42.6,0.678,-0.29,0.172,16.95,39.65,27.3,16.06666667,0.090845
Lafayette,LA,43.2,0.69,-0.295,0.185,23.18571429,38.88571429,23.01428571,14.91428571,0.113281429
Monroe,LA,37.9,0.701,-0.292,0.167,21.01666667,40.9,24.1,13.98333333,0.143663333
Lake Providence,LA,40.5,0.708,-0.329,0.165,28.1,41.25,20.7,9.95,0.09949
Magnolia,AR,38.6,0.746,-0.417,0.166,18.7,40.75,24.6,15.9,0.061305
Shreveport,LA,38.1,0.742,-0.312,0.194,18.375,38.175,26.9875,16.5,0.0941025
Ruston,LA,40.4,0.65,-0.305,0.198,18.63333333,37.2,23.8,20.36666667,0.098606667
Many,LA,46.6,0.67,-0.231,0.167,17.6,42,26.3,14.1,0.0971
Crossett,AR,38.6,0.667,-0.268,0.155,15.1,41.4,30.3,13.2,0.0741
Pine Bluff,AR,36.6,0.694,-0.338,0.167,18.87142857,42.01428571,25.1,14.04285714,0.074451429
El Dorado,AR,37.6,0.708,-0.402,0.16,16.675,45.175,23.875,14.275,0.06892
Little Rock,AR,38,0.701,-0.361,0.17,12.72857143,36.11428571,29.94285714,21.2,0.079261429
Stuttgart,AR,39.8,0.641,-0.393,0.168,20.56666667,41.83333333,26.86666667,10.7,0.084753333
Searcy,AR,41.3,0.774,-0.35,0.159,22.06666667,42.46666667,22.53333333,12.9,0.11965
London,KY,39.1,0.766,-0.298,0.187,28.525,38.15,21.15,12.2,0.11088
Richmond,KY,38.9,0.706,-0.292,0.167,22.95,41.175,21.9,13.975,0.052945
West Liberty,KY,38.4,0.71,-0.184,0.142,30.32,37.22,20.54,11.88,0.07293
Hazard,KY,42.7,0.61,-0.176,0.164,29.22,34.56,24.56,11.68,0.085114
Campbellsville,KY,41.9,0.746,-0.33,0.187,23.32,39.38,24.2,13.1,0.088738
Somerset,KY,39.1,0.883,-0.341,0.208,25.72,40.5,23.78,10,0.104766
Greenwood,MS,35.6,0.745,-0.378,0.139,23.675,33.35,27.375,15.625,0.102295
Clarksdale,MS,34.2,0.848,-0.406,0.206,23.9,30.81666667,27.83333333,17.43333333,0.119316667
Greenville,MS,33.6,0.78,-0.376,0.123,28.06,29.78,25.84,16.3,0.090354
Jackson,TN,37.3,0.787,-0.336,0.168,18.58,38.92,26.46,16.04,0.08119
Dyersburg,TN,36.5,0.775,-0.323,0.183,22.4,42.85,22.25,12.5,0.0594075
Lexington,TN,41,0.75,-0.189,0.167,21.13333333,41.93333333,24.73333333,12.16666667,0.0661
Tupelo,MS,37.7,0.747,-0.334,0.147,22.78333333,33.21666667,29.93333333,14.08333333,0.087678333
Corinth,MS,39,0.756,-0.303,0.146,21.52,39.26,26.5,12.68,0.10429
New Albany,MS,39.3,0.697,-0.345,0.15,23.96666667,34.46666667,29.16666667,12.43333333,0.06144
Memphis,TN,33.7,0.758,-0.399,0.189,16.82857143,32.81428571,30.62857143,19.7,0.107585714
West Memphis,AR,35.2,0.653,-0.438,0.172,23.22,38.6,26.14,12.04,0.0805
Bowling Green,KY,40.4,0.771,-0.311,0.188,18.72,38.38,26.28,16.66,0.085048
Glasgow,KY,42.4,0.783,-0.256,0.193,23.78333333,41.55,21.35,13.28333333,0.083195
Columbia,TN,39.4,0.701,-0.292,0.146,18.02,41.48,26.48,14.02,0.080254
Nashville,TN,38.2,0.771,-0.348,0.179,14.81818182,35.17272727,26.27272727,23.72727273,0.104997273
Tullahoma,TN,39.2,0.812,-0.302,0.184,16.65,39.4,26.675,17.275,0.0815625
Dickson,TN,39.7,0.767,-0.279,0.173,18.38,43.82,24.14,13.68,0.112726
Clarksville,TN,39.2,0.717,-0.307,0.172,16.1,37.3,30.86666667,15.71666667,0.093595
Huntsville,AL,38.5,0.767,-0.342,0.189,16.42,33.38,27.86,22.34,0.086692
Gadsden,AL,41.2,0.863,-0.319,0.192,22.675,34.7,28.525,14.05,0.10543
Florence,AL,41.5,0.818,-0.324,0.195,20.3,38.38,26.7,14.6,0.109512
McMinnville,TN,39.3,0.777,-0.281,0.181,20.8,45.275,20.95,13,0.0830775
Cookeville,TN,41.2,0.774,-0.268,0.202,21.35,41.9,22.7,14.05,0.069265
Chattanooga,TN,37.9,0.796,-0.35,0.2,19.55714286,35.87142857,28.4,16.17142857,0.090654286
Crossville,TN,40.6,0.786,-0.32,0.18,22.825,40.85,23.175,13.175,0.106285
Ellijay,GA,40.7,0.632,-0.201,0.154,20.5,37.15,25.95,16.45,0.075485
Cleveland,TN,39.2,0.796,-0.227,0.175,20.18,40.6,26.2,13,0.08463
Rome,GA,37.4,0.782,-0.317,0.181,24.9125,35.2,26.125,13.7625,0.11783125
Tampa,FL,39.1,0.724,-0.32,0.201,11.85,32,32.025,24.125,0.136645
Lakeland,FL,39.4,0.752,-0.359,0.191,21.53333333,37.86666667,25.2,15.43333333,0.11056
Sarasota,FL,39.2,0.685,-0.282,0.183,14.9,34.175,28.25,22.65,0.1435525
Miami,FL,41.5,0.551,-0.234,0.164,13.6,28,28.73333333,29.66666667,0.18926
Port St. Lucie,FL,39,0.646,-0.289,0.186,21.13333333,33.11666667,26.78333333,18.98333333,0.126573333
