ACSSF HI040000000001     15                                                                                                                                                       04000US15                               Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF HI040010000002     15                                                                                                                                U                      04001US15                               Hawaii -- Urban                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI040430000003     15                                                                                                                                R                      04043US15                               Hawaii -- Rural                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI040A00000004     15                                                                                                                                                       040A0US15                               Hawaii -- In metropolitan or micropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF HI040C00000005     15                                                              1                                                                                        040C0US15                               Hawaii -- In metropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF HI040C10000006     15                                                              1                                                                  Y                     040C1US15                               Hawaii -- In metropolitan statistical area -- in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI040C20000007     15                                                              1                                                                                        040C2US15                               Hawaii -- In metropolitan statistical area -- not in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF HI040E00000008     15                                                              2                                                                                        040E0US15                               Hawaii -- In micropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF HI040E10000009     15                                                              2                                                                  Y                     040E1US15                               Hawaii -- In micropolitan statistical area -- in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI040E20000010     15                                                              2                                                                                        040E2US15                               Hawaii -- In micropolitan statistical area -- not in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF HI040H00000011     15                                                                                                                                                       040H0US15                               Hawaii -- Not in metropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF HI050000000012     15001                                                                                                                                                    05000US15001                            Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF HI050000000013     15003                                                                                                                                                    05000US15003                            Honolulu County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ACSSF HI050000000014     15005                                                                                                                                                    05000US15005                            Kalawao County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF HI050000000015     15007                                                                                                                                                    05000US15007                            Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ACSSF HI050000000016     15009                                                                                                                                                    05000US15009                            Maui County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF HI060000000017     1500190630                                                                                                                                               06000US1500190630                       Hilo CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI060000000018     1500190720                                                                                                                                               06000US1500190720                       Honokaa-Kukuihaele CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF HI060000000019     1500191170                                                                                                                                               06000US1500191170                       Kau CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF HI060000000020     1500191350                                                                                                                                               06000US1500191350                       Keaau-Mountain View CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF HI060000000021     1500192430                                                                                                                                               06000US1500192430                       North Hilo CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF HI060000000022     1500192520                                                                                                                                               06000US1500192520                       North Kohala CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ACSSF HI060000000023     1500192610                                                                                                                                               06000US1500192610                       North Kona CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF HI060000000024     1500192700                                                                                                                                               06000US1500192700                       Paauhau-Paauilo CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF HI060000000025     1500192790                                                                                                                                               06000US1500192790                       Pahoa-Kalapana CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ACSSF HI060000000026     1500192880                                                                                                                                               06000US1500192880                       Papaikou-Wailea CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF HI060000000027     1500193150                                                                                                                                               06000US1500193150                       South Kohala CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ACSSF HI060000000028     1500193240                                                                                                                                               06000US1500193240                       South Kona CCD, Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF HI060000000029     1500390270                                                                                                                                               06000US1500390270                       Ewa CCD, Honolulu County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF HI060000000030     1500390810                                                                                                                                               06000US1500390810                       Honolulu CCD, Honolulu County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
