ACSSF NH040000000001     33                                                                                                                                                       04000US33                               New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF NH040010000002     33                                                                                                                                U                      04001US33                               New Hampshire -- Urban                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF NH040430000003     33                                                                                                                                R                      04043US33                               New Hampshire -- Rural                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF NH040A00000004     33                                                                                                                                                       040A0US33                               New Hampshire -- In metropolitan or micropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ACSSF NH040C00000005     33                                                              1                                                                                        040C0US33                               New Hampshire -- In metropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ACSSF NH040C10000006     33                                                              1                                                                  Y                     040C1US33                               New Hampshire -- In metropolitan statistical area -- in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF NH040C20000007     33                                                              1                                                                                        040C2US33                               New Hampshire -- In metropolitan statistical area -- not in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF NH040E00000008     33                                                              2                                                                                        040E0US33                               New Hampshire -- In micropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ACSSF NH040E10000009     33                                                              2                                                                  Y                     040E1US33                               New Hampshire -- In micropolitan statistical area -- in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF NH040E20000010     33                                                              2                                                                                        040E2US33                               New Hampshire -- In micropolitan statistical area -- not in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF NH040G00000011     33                                                              9                                                                                        040G0US33                               New Hampshire -- Not in metropolitan or micropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF NH040H00000012     33                                                                                                                                                       040H0US33                               New Hampshire -- Not in metropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF NH050000000013     33001                                                                                                                                                    05000US33001                            Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF NH050000000014     33003                                                                                                                                                    05000US33003                            Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF NH050000000015     33005                                                                                                                                                    05000US33005                            Cheshire County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF NH050000000016     33007                                                                                                                                                    05000US33007                            Coos County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF NH050000000017     33009                                                                                                                                                    05000US33009                            Grafton County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF NH050000000018     33011                                                                                                                                                    05000US33011                            Hillsborough County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ACSSF NH050000000019     33013                                                                                                                                                    05000US33013                            Merrimack County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF NH050000000020     33015                                                                                                                                                    05000US33015                            Rockingham County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF NH050000000021     33017                                                                                                                                                    05000US33017                            Strafford County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF NH050000000022     33019                                                                                                                                                    05000US33019                            Sullivan County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF NH060000000023     3300101060                                                                                                                                               06000US3300101060                       Alton town, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ACSSF NH060000000024     3300103220                                                                                                                                               06000US3300103220                       Barnstead town, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF NH060000000025     3300104740                                                                                                                                               06000US3300104740                       Belmont town, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ACSSF NH060000000026     3300110660                                                                                                                                               06000US3300110660                       Center Harbor town, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ACSSF NH060000000027     3300128740                                                                                                                                               06000US3300128740                       Gilford town, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ACSSF NH060000000028     3300128980                                                                                                                                               06000US3300128980                       Gilmanton town, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF NH060000000029     3300140180                                                                                                                                               06000US3300140180                       Laconia city, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ACSSF NH060000000030     3300147140                                                                                                                                               06000US3300147140                       Meredith town, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF NH060000000031     3300151540                                                                                                                                               06000US3300151540                       New Hampton town, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF NH060000000032     3300167300                                                                                                                                               06000US3300167300                       Sanbornton town, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF NH060000000033     3300177060                                                                                                                                               06000US3300177060                       Tilton town, Belknap County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF NH060000000034     3300300420                                                                                                                                               06000US3300300420                       Albany town, Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF NH060000000035     3300303700                                                                                                                                               06000US3300303700                       Bartlett town, Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF NH060000000036     3300307940                                                                                                                                               06000US3300307940                       Brookfield town, Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF NH060000000037     3300311780                                                                                                                                               06000US3300311780                       Chatham town, Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ACSSF NH060000000038     3300314660                                                                                                                                               06000US3300314660                       Conway town, Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF NH060000000039     3300323380                                                                                                                                               06000US3300323380                       Eaton town, Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ACSSF NH060000000040     3300323620                                                                                                                                               06000US3300323620                       Effingham town, Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF NH060000000041     3300327700                                                                                                                                               06000US3300327700                       Freedom town, Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ACSSF NH060000000042     3300332500                                                                                                                                               06000US3300332500                       Hale's location, Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF NH060000000043     3300334500                                                                                                                                               06000US3300334500                       Hart's Location town, Carroll County, New Hampshire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
