ACSSF RI040000000001     44                                                                                                                                                       04000US44                               Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF RI040010000002     44                                                                                                                                U                      04001US44                               Rhode Island -- Urban                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF RI040430000003     44                                                                                                                                R                      04043US44                               Rhode Island -- Rural                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF RI040A00000004     44                                                                                                                                                       040A0US44                               Rhode Island -- In metropolitan or micropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF RI040C00000005     44                                                              1                                                                                        040C0US44                               Rhode Island -- In metropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF RI040C10000006     44                                                              1                                                                  Y                     040C1US44                               Rhode Island -- In metropolitan statistical area -- in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF RI040C20000007     44                                                              1                                                                                        040C2US44                               Rhode Island -- In metropolitan statistical area -- not in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ACSSF RI050000000008     44001                                                                                                                                                    05000US44001                            Bristol County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF RI050000000009     44003                                                                                                                                                    05000US44003                            Kent County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ACSSF RI050000000010     44005                                                                                                                                                    05000US44005                            Newport County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF RI050000000011     44007                                                                                                                                                    05000US44007                            Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF RI050000000012     44009                                                                                                                                                    05000US44009                            Washington County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF RI060000000013     4400105140                                                                                                                                               06000US4400105140                       Barrington town, Bristol County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF RI060000000014     4400109280                                                                                                                                               06000US4400109280                       Bristol town, Bristol County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF RI060000000015     4400173760                                                                                                                                               06000US4400173760                       Warren town, Bristol County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ACSSF RI060000000016     4400318640                                                                                                                                               06000US4400318640                       Coventry town, Kent County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ACSSF RI060000000017     4400322240                                                                                                                                               06000US4400322240                       East Greenwich town, Kent County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF RI060000000018     4400374300                                                                                                                                               06000US4400374300                       Warwick city, Kent County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ACSSF RI060000000019     4400377720                                                                                                                                               06000US4400377720                       West Greenwich town, Kent County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF RI060000000020     4400378440                                                                                                                                               06000US4400378440                       West Warwick town, Kent County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF RI060000000021     4400500000                                                                                                                                               06000US4400500000                       County subdivisions not defined, Newport County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF RI060000000022     4400536820                                                                                                                                               06000US4400536820                       Jamestown town, Newport County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF RI060000000023     4400542400                                                                                                                                               06000US4400542400                       Little Compton town, Newport County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ACSSF RI060000000024     4400545460                                                                                                                                               06000US4400545460                       Middletown town, Newport County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF RI060000000025     4400549960                                                                                                                                               06000US4400549960                       Newport city, Newport County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF RI060000000026     4400557880                                                                                                                                               06000US4400557880                       Portsmouth town, Newport County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF RI060000000027     4400570880                                                                                                                                               06000US4400570880                       Tiverton town, Newport County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ACSSF RI060000000028     4400711800                                                                                                                                               06000US4400711800                       Burrillville town, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ACSSF RI060000000029     4400714140                                                                                                                                               06000US4400714140                       Central Falls city, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
